DATE,EXNOUS
2000-08-01,8.9526
2000-09-01,9.2331
2000-10-01,9.3794
2000-11-01,9.3524
2000-12-01,9.0616
2001-01-01,8.7817
2001-02-01,8.918
2001-03-01,8.9859
2001-04-01,9.092
2001-05-01,9.138
2001-06-01,9.3014
2001-07-01,9.2566
2001-08-01,8.9427
2001-09-01,8.7691
2001-10-01,8.8329
2001-11-01,8.9296
2001-12-01,8.9713
2002-01-01,8.9684
2002-02-01,8.9492
2002-03-01,8.8072
2002-04-01,8.6102
2002-05-01,8.205
2002-06-01,7.7533
2002-07-01,7.4694
2002-08-01,7.6042
2002-09-01,7.5018
2002-10-01,7.4873
2002-11-01,7.3157
2002-12-01,7.1557
2003-01-01,6.9138
2003-02-01,7.0004
2003-03-01,7.276
2003-04-01,7.2032
2003-05-01,6.8145
2003-06-01,7.0093
2003-07-01,7.2924
2003-08-01,7.4096
2003-09-01,7.2782
2003-10-01,7.0331
2003-11-01,7.0054
2003-12-01,6.7128
2004-01-01,6.8117
2004-02-01,6.9508
2004-03-01,6.9598
2004-04-01,6.9263
2004-05-01,6.8428
2004-06-01,6.8279
2004-07-01,6.9126
2004-08-01,6.8369
2004-09-01,6.8416
2004-10-01,6.5809
2004-11-01,6.27
2004-12-01,6.1355
2005-01-01,6.2672
2005-02-01,6.396
2005-03-01,6.2116
2005-04-01,6.3147
2005-05-01,6.3656
2005-06-01,6.4936
2005-07-01,6.5783
2005-08-01,6.4367
2005-09-01,6.383
2005-10-01,6.5103
2005-11-01,6.6399
2005-12-01,6.7242
2006-01-01,6.6287
2006-02-01,6.7526
2006-03-01,6.6317
2006-04-01,6.3922
2006-05-01,6.104
2006-06-01,6.207
2006-07-01,6.2617
2006-08-01,6.2423
2006-09-01,6.5008
2006-10-01,6.6591
2006-11-01,6.3991
2006-12-01,6.1826
2007-01-01,6.3656
2007-02-01,6.186
2007-03-01,6.1401
2007-04-01,6.0098
2007-05-01,6.022
2007-06-01,5.998
2007-07-01,5.7807
2007-08-01,5.8492
2007-09-01,5.6256
2007-10-01,5.4023
2007-11-01,5.4156
2007-12-01,5.5
2008-01-01,5.3993
2008-02-01,5.3851
2008-03-01,5.1495
2008-04-01,5.0541
2008-05-01,5.0571
2008-06-01,5.1351
2008-07-01,5.1058
2008-08-01,5.3331
2008-09-01,5.6958
2008-10-01,6.4973
2008-11-01,6.929
2008-12-01,7.0159
2009-01-01,6.9566
2009-02-01,6.871
2009-03-01,6.7855
2009-04-01,6.6557
2009-05-01,6.4504
2009-06-01,6.3915
2009-07-01,6.3566
2009-08-01,6.0705
2009-09-01,5.9006
2009-10-01,5.6428
2009-11-01,5.643
2009-12-01,5.7708
2010-01-01,5.7402
2010-02-01,5.9182
2010-03-01,5.9204
2010-04-01,5.9169
2010-05-01,6.2872
2010-06-01,6.4728
2010-07-01,6.2633
2010-08-01,6.1481
2010-09-01,6.0431
2010-10-01,5.8322
2010-11-01,5.9645
2010-12-01,5.9833
2011-01-01,5.8561
2011-02-01,5.7319
2011-03-01,5.5913
2011-04-01,5.4015
2011-05-01,5.4766
2011-06-01,5.4366
2011-07-01,5.4502
2011-08-01,5.4353
2011-09-01,5.6257
2011-10-01,5.6405
2011-11-01,5.7405
2011-12-01,5.8912
2012-01-01,5.9424
2012-02-01,5.7097
2012-03-01,5.7074
2012-04-01,5.7521
2012-05-01,5.9151
2012-06-01,6.0146
2012-07-01,6.069
2012-08-01,5.9012
2012-09-01,5.7467
2012-10-01,5.7078
2012-11-01,5.718
2012-12-01,5.6103
2013-01-01,5.55
2013-02-01,5.5648
2013-03-01,5.7806
2013-04-01,5.7935
2013-05-01,5.8202
2013-06-01,5.8759
2013-07-01,6.0246
2013-08-01,5.9677
2013-09-01,5.9662
2013-10-01,5.9491
2013-11-01,6.0856
2013-12-01,6.1342
2014-01-01,6.1622
2014-02-01,6.1147
2014-03-01,5.9955
2014-04-01,5.979
2014-05-01,5.9389
2014-06-01,6.0437
2014-07-01,6.1992
2014-08-01,6.1935
2014-09-01,6.3525
2014-10-01,6.56
2014-11-01,6.809
2014-12-01,7.2772
2015-01-01,7.6865
2015-02-01,7.5861
2015-03-01,7.9952
2015-04-01,7.8774
2015-05-01,7.5503
2015-06-01,7.8111
2015-07-01,8.1255
2015-08-01,8.2524
2015-09-01,8.2845
2015-10-01,8.27
2015-11-01,8.6394
2015-12-01,8.6971
2016-01-01,8.8194
2016-02-01,8.6127
2016-03-01,8.4754
2016-04-01,8.2082
2016-05-01,8.2269
2016-06-01,8.3064
2016-07-01,8.4795
2016-08-01,8.3009
2016-09-01,8.1957
2016-10-01,8.1722
2016-11-01,8.4147
2016-12-01,8.5617
2017-01-01,8.457
2017-02-01,8.3215
2017-03-01,8.5063
2017-04-01,8.5855
2017-05-01,8.5059
2017-06-01,8.4594
2017-07-01,8.1473
2017-08-01,7.8885
2017-09-01,7.8382
2017-10-01,7.997
2017-11-01,8.1946
2017-12-01,8.3178
2018-01-01,7.9039
2018-02-01,7.8394
2018-03-01,7.7702
2018-04-01,7.8471
2018-05-01,8.067
